年度,GDP,来源
2018年,1782.6481,XLSX
2019年,2152.48,XLSX
2020年,2250.81,XLSX
2021年,2461.5348,XLSX
2022年,2599.18,BULLETIN
2023年,,无
2024年,,无
2025年,2883.5,BULLETIN
