期间,地区生产总值（GDP）,规模工业增加值,固定资产投资,地方一般公共预算收入,社会消费品零售总额,全体居民人均可支配收入
2025年1-2月,-,+9.2%×2,+8.5%×2,-6.1%×2,256.1/+5.3%,-
2025年1-3月,663.6/+6.3%×2,+8.8%×2,+3.3%×2,-8.2%×2,387.4/+5.8%,+6.5%×2
2025年1-4月,-,+9.4%×2,-0.1%×2,-9.6%×2,508.0/+5.9%,-
2025年1-5月,-,+9.3%×2,-0.4%×2,-9.9%×2,631.8/+6.2%,-
2025年1-6月,"1,355.5/+6.2%",+9.2%×2,-1.6%×2,-7.7%×2,774.7/+6.2%,+6.1%
2025年1-7月,-,+9.1%×2,+0.1%×2,-8.2%×2,905.0/+6.0%,-
2025年1-8月,-,+9.2%×2,-0.9%×2,-7.2%×2,"1,040.4/+5.5%",-
2025年1-9月,"1,974.6/+5.0%",+6.0%×2,-9.9%×2,-6.2%×2,"1,182.7/+4.8%",+5.9%
