指标,数值,单位,同比增速
地区生产总值（GDP）,1974.6101,亿元,+4.96%
第一产业增加值,,,+4.20%
第二产业增加值,,,+5.00%
第三产业增加值,,,+5.10%
地方一般公共预算收入,86.15,亿元,-6.25%
税收收入,45.18,亿元,-13.74%
非税收入,40.97,亿元,+3.67%
一般公共预算支出,483.74,亿元,+3.18%
规模工业增加值,,,+6.00%
固定资产投资,,,-9.90%
房地产开发投资,,,-15.30%
社会消费品零售总额,1182.72,亿元,+4.85%
全体居民人均可支配收入,21308.82,元,+5.90%
城镇居民人均可支配收入,30402.2973,元,+4.90%
农村居民人均可支配收入,14314.0693,元,+6.50%
